Name of the hospital*,Latitude*,Longitude*,District*,Address,PinCode*,Phone Number
Dhanush Hospital,16.1743905,75.6804263,Bagalkote,Extensaio Area Mahaveer Road Bagalkot Dist Bagalkot 587101,587101,9900095233
Baragi Hospital Bagalkot,16.183354,75.696659,Bagalkote,Baragi Hospital Bagalkot Rajeevgandhi Circle Near Durga Vihar Bagalkot 587101,587101,x
Daddenavar Hospital And Research Centre,16.178766,75.6887869,Bagalkote,Laxmi Nagar Near Rural Police StationBagalkot,587101,x
Shanti Hospital Bagalkot,16.1861201,75.692984,Bagalkote,166A 1A Near Old Ib Extension Area Bagalkot 587101,587101,8354220996
Kerudi Healthcare Private Limited Bagalkot,16.1728947,75.679288,Bagalkote,Rotary Circle Navanagar Road Bagalkot 587101,587101,x
Patil Medicare Multispeciality Hospital Bagalkot,16.1793326,75.6888305,Bagalkote,Behind Kerudi Hospital Bagalkot 587101,587101,8354221933
Sanjeevini Children And Eye Hospital,16.18277,75.6929137,Bagalkote,Near Lion S School Extenssion Area Bagalkot,587101,x
Spandana Multispeciality Hospital,16.1819409,75.6879315,Bagalkote,Pm Nadagouda RoadVinayak Nagar Bagalkot,587101,9945682666
M S Kerudi Hospital And Research Centre Bagalkot,16.1743649,75.6870193,Bagalkote,Opp Axis Bank Extension Area Bagalkot 587101,587101,x
Dr Katti Hospital,16.1807826,75.6860444,Bagalkote,Bendigeri Layout Extension Area Bagalkot 587101,587101,8867120078
Shakuntala multispeciality hospital,16.1834828,75.6949525,Bagalkote,near railway station bagalkot 587101,587101,9611720416
Guled Ortho Care Hospital,16.1830353,75.6947953,Bagalkote,Extesion Area Near Kerudi Hospital Bagalkot,587101,8354224033
Ashirwad Hospital,16.1773251,75.689014,Bagalkote,VithalS Vantage Building Deepam Colony Near Rotary Circle Bagalkote 587101,587101,8354220599
Shri Banashankari Eye Hospital Bagalkot,14.5678649,75.5261218,Bagalkote,Mahaveer Road Opposite Water Tank Bagalkot,587101,8762990666
Ashraya Hospital,16.1743425,75.6569963,Bagalkote,BASAVESHWAR ENGINEERING COLLEGE CIRCLE VIDYAGIRI BAGALKOT,587102,
SNMC HSK Hospital,16.1638258,75.6724625,Bagalkote,SNMC HSK Hospital Navanagar Bagalkote 587102,587102,8354235360
Bests Kuntoji Multispeciality Hospital,16.1627266,75.6624207,Bagalkote,Plot No D1 Sector No 20 Near Kalabhavan Navanagar Bagalkot,587103,9483300896
MAHANTESH MULTI SPECIALITY HOSPITAL,15.9696887,76.1087664,Bagalkote,JOSHIGALLI OPP IB BAGALKOTE,587125,
Dr R G Karudagimath Memorial Nursing Home Badami,15.9255005,75.6768757,Bagalkote,Tippu Nagar Station Road Badami Bagalkot,587201,
Dr A R Belgali Surgical Clinic And Maternity Home,14.6604671,75.2047548,Bagalkote,Dr A R Belgali Surgical Clinic And Maternity Home Vidyanagar Mudhol Road Mahalingpur Baglakot 587312,587312,
Arogyadham Hospital,16.2994721,74.7822482,Bagalkote,Arogyadham Hospital Gokak Road Mahalingpur Bagalkote 587312,587312,
Riti life care Hospital,16.2799369,75.0904063,Bagalkote,Riti Life Care HospitalJayalaxminagarMahalingpur Taluk MudholBagalkot,587312,
Sai Aadhar Hospital,16.2795741,75.1959033,Bagalkote,Sai Aadhar Hospital Cts No 4018 4026 A1 D 789 Yadwad Road Mudhol 587313,587313,
Sharada Ortho Speciality Hospital,16.3280103,75.2884509,Bagalkote,Beside Deshpande Petrol Pump Basav Nagar Ranna Circle,587313,
Trishaladevi Super Speciality Eye Hospital,16.4797003,75.1100929,Bagalkote,Trishaladevi Super Speciality Eye Hospital Krishna Barrage Road Rabkavi Bagalkot 587314,587314,
OrthoCare Multispeciality Hospital Rabkavi,16.4720189,75.1017049,Bagalkote,Near Bramhanand Math Yaragatti Road Rabkavi tq Rabkavi Banhatti,587314,
PADMA HOSPITAL TERDAL,16.4949899,75.0534963,Bagalkote,PADMA HOSPITAL PADMA NAGAR TERDAL,587315,
Jindal Sanjeevani Multi Speciality Hospital,15.1963502,76.6567923,Ballari,Jindal Sanjeevani Multi Speciality Hospital Vijaya Vittal Nagar Toranagallu Village Bellary 583123,583123,
Mahesh Nursing Home,14.7852366,75.9865737,Ballari,Mahesh Nursing Home Kottur Road Harapanahalli Tq Bellary Dist 583131,583131,
